Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
GENETICS & HEREDITY,7,86,16,85.71428571428571,1.0456142857142858,12.285714285714286,62.91902857142857,0.5714285714285714,0.673648677889817
"PHYSICS, CONDENSED MATTER",6,71,17,100.0,0.7656666666666667,11.833333333333334,61.691083333333346,0.5716666666666668,0.6488437847117036
BIOCHEMISTRY & MOLECULAR BIOLOGY,17,66,18,82.35294117647058,0.5188,3.8823529411764706,37.32772352941177,0.25882352941176473,0.21287666838925814
CARDIAC & CARDIOVASCULAR SYSTEMS,6,64,19,100.0,1.8066000000000002,10.666666666666666,70.18346666666667,0.6483333333333333,0.5848732707260426
ASTRONOMY & ASTROPHYSICS,6,57,20,83.33333333333334,0.8049333333333335,9.5,49.20536666666667,0.4466666666666667,0.5209027567403817
PLANT SCIENCES,13,56,21,84.61538461538461,0.5995769230769231,4.3076923076923075,43.94146923076923,0.2553846153846154,0.23619882087013258
REMOTE SENSING,2,55,22,100.0,7.9795,27.5,96.25980000000001,2.095,1.5078764010905785
"CHEMISTRY, ANALYTICAL",4,42,23,100.0,0.7998750000000001,10.5,51.384525,0.47250000000000003,0.5757346258709481
NANOSCIENCE & NANOTECHNOLOGY,4,42,23,100.0,0.808475,10.5,68.31552500000001,0.7075,0.5757346258709481
"PHYSICS, MATHEMATICAL",3,38,25,100.0,2.0379,12.666666666666666,88.17110000000001,0.62,0.6945370089871755
CELL BIOLOGY,13,36,26,61.53846153846154,0.47015384615384614,2.769230769230769,22.83031538461539,0.22076923076923077,0.15184209913079952
"PHYSICS, PARTICLES & FIELDS",1,34,27,100.0,7.8341,34.0,96.0,4.19,1.8642835504392608
"ENGINEERING, CHEMICAL",2,30,28,100.0,0.9115000000000001,15.0,63.92515,0.67,0.8224780369584974
"ENGINEERING, PETROLEUM",1,29,29,100.0,5.1779,29.0,97.6841,1.4200000000000002,1.5901242047864284
ENDOCRINOLOGY & METABOLISM,4,24,30,75.0,0.3854250000000001,6.0,29.270775,0.2425,0.328991214783399
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1,16,31,100.0,1.6783000000000001,16.0,84.3709,0.7100000000000001,0.8773099060890639
"CHEMISTRY, ORGANIC",1,14,32,100.0,1.189,14.0,70.4809,0.62,0.7676461678279309
INSTRUMENTS & INSTRUMENTATION,2,14,32,100.0,8.42455,7.0,96.64725000000001,0.865,0.38382308391396547
PHARMACOLOGY & PHARMACY,1,14,32,100.0,1.7679,14.0,82.9963,0.6900000000000001,0.7676461678279309
"PHYSICS, NUCLEAR",1,13,35,100.0,8.6667,13.0,100.0,1.6,0.7128142986973645
VIROLOGY,5,13,35,80.0,0.21680000000000002,2.6,22.52976,0.12,0.14256285973947289
GASTROENTEROLOGY & HEPATOLOGY,2,12,37,100.0,2.0582000000000003,6.0,61.64715,0.385,0.328991214783399
THERMODYNAMICS,1,11,38,100.0,0.8166,11.0,57.8629,0.49000000000000005,0.6031505604362314
HEMATOLOGY,2,10,39,50.0,0.48040000000000005,5.0,34.04735,0.24500000000000002,0.27415934565283245
IMMUNOLOGY,2,9,40,100.0,0.56025,4.5,50.127900000000004,0.24000000000000002,0.2467434110875492
BIOLOGY,4,7,41,50.0,0.35265,1.75,32.895250000000004,0.12000000000000001,0.09595577097849137
ONCOLOGY,1,7,41,100.0,0.5533,7.0,51.499700000000004,0.34,0.38382308391396547
"CHEMISTRY, INORGANIC & NUCLEAR",1,6,43,100.0,0.6277,6.0,47.0993,0.27,0.328991214783399
INFECTIOUS DISEASES,2,6,43,50.0,0.34400000000000003,3.0,25.57215,0.14500000000000002,0.1644956073916995
MINERALOGY,1,5,45,100.0,0.6314000000000001,5.0,43.119,0.25,0.27415934565283245
"ENGINEERING, ELECTRICAL & ELECTRONIC",1,4,46,100.0,3.0582000000000003,4.0,90.48440000000001,0.49000000000000005,0.21932747652226597
UROLOGY & NEPHROLOGY,1,4,46,100.0,0.38670000000000004,4.0,38.562400000000004,0.18000000000000002,0.21932747652226597
PALEONTOLOGY,1,3,48,100.0,0.5824,3.0,36.7616,0.15,0.1644956073916995
SOIL SCIENCE,1,3,48,100.0,0.27590000000000003,3.0,28.163700000000002,0.13,0.1644956073916995
MEDICAL LABORATORY TECHNOLOGY,1,2,50,100.0,0.341,2.0,29.489700000000003,0.1,0.10966373826113299
PEDIATRICS,1,2,50,100.0,1.2135,2.0,73.5969,0.14,0.10966373826113299
COMMUNICATION,1,1,52,100.0,0.4834,1.0,53.7383,0.12000000000000001,0.054831869130566493
MECHANICS,1,1,52,100.0,3.1061,1.0,80.9756,1.0,0.054831869130566493
"COMPUTER SCIENCE, THEORY & METHODS",1,0,54,0.0,0.0,0.0,0.1515,0.0,0.0
OPHTHALMOLOGY,1,0,54,0.0,0.0,0.0,0.0746,0.0,0.0

Filter Summary:
Dataset: Web of Science 25082021:075027 + ESCI
Schema:  Web of Science
="Domestic/International Collaboration:  All"
"Time Period:  [2016, 2020]"
Funding Data Source:  All Sources

"Exported date  Aug 25, 2021. "
"InCites dataset updated  2021-07-30. Includes Web of Science content indexed through 2021-06-30. "

